,country,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,suicides_no,population,rate,per100k,GPI
81,Denmark,2012,7.519909382000001,10.69957066,0.951437175,70.83999634,0.932627916,0.13419172199999999,0.187407613,0.7737635970000001,0.20856951199999998,0.534252763,1.29451251,2.01157999,661.0,5270539.0,0.00012541411798679415,12.541411798679416,1.239
82,Denmark,2013,7.588606834,10.70469189,0.9647079709999999,71.05999756,0.920254648,0.210207686,0.170042172,0.862346828,0.19467379199999998,0.391405106,1.312752008,2.026952028,610.0,5299698.0,0.00011510089820212397,11.510089820212396,1.207
83,Denmark,2014,7.5075592989999995,10.71568489,0.956344306,71.27999878,0.941572249,0.11341865400000001,0.237218335,0.8324829340000001,0.232612774,0.457836896,1.238178492,1.962424636,629.0,5339166.0,0.00011780866150256425,11.780866150256426,1.193
84,Denmark,2015,7.5144248010000005,10.72455978,0.9597013000000001,71.5,0.94143641,0.217952549,0.191016391,0.8292174940000001,0.217577577,0.579888642,1.225186348,1.959059715,564.0,5383060.0,0.00010477312160741288,10.477312160741288,1.15
85,Ecuador,2011,5.795088291,9.203003883,0.818051338,66.95999908,0.7883057,-0.158239976,0.7015956640000001,0.861699998,0.27068767,0.593581021,-0.489961177,-0.8816601040000001,918.0,13583553.0,6.758172916909147e-05,6.758172916909147,2.116
86,Ecuador,2012,5.960716248,9.242050171,0.785201013,67.12000275,0.8252751229999999,-0.08701530800000001,0.729978859,0.847184837,0.333309054,0.637234926,-0.43321031299999996,-0.8087364440000001,976.0,13815861.0,7.064344379260909e-05,7.064344379260909,2.028
87,Ecuador,2013,6.019206047000001,9.274765967999999,0.801250935,67.27999878,0.78679812,-0.19385552399999997,0.645848632,0.8508973120000001,0.26650404899999997,0.6208269000000001,-0.215689272,-0.7422616479999999,676.0,14054613.0,4.809808708357889e-05,4.809808708357889,2.059
88,Ecuador,2014,5.945851802999999,9.296648026,0.8309631940000001,67.44000244,0.7191048259999999,-0.170592427,0.660934925,0.859315515,0.305792958,0.648474455,-0.11049918800000001,-0.823377907,734.0,14295145.0,5.134610386953053e-05,5.134610386953053,2.042
89,Ecuador,2015,5.964075089,9.282580376,0.855889201,67.59999847,0.800870478,-0.11733917099999999,0.665827513,0.850546062,0.32294610100000004,0.522347212,-0.177853748,-0.8249437209999999,1073.0,14534024.0,7.382676676466201e-05,7.382676676466201,1.997
90,Egypt,2011,4.174158573,9.192565918,0.753394485,60.15999985,0.589537799,-0.15840126599999999,0.858596265,0.528634012,0.35341697899999996,0.63178885,-1.288520098,-0.514961481,176.0,75743440.0,2.3236335714353614e-06,0.23236335714353615,2.023
91,Egypt,2012,4.204156876,9.192422867000001,0.736645103,60.31999969,0.45154336100000003,-0.144803181,0.880383074,0.527221382,0.398423016,0.601901174,-1.1006965640000002,-0.5885275010000001,211.0,77116832.0,2.736108246770303e-06,0.2736108246770303,2.22
