country,year,Life Ladder,Log GDP per capita,Freedom to make life choices,Generosity,Confidence in national government,suicides_no,GPI
Greece,2011,5.372039795,10.17127228,0.528125942,-0.317883313,0.175151214,477,1.947
Greece,2012,5.096354008,10.10087299,0.37261042,-0.306134254,0.126218989,508,1.976
Greece,2013,4.720251083,10.07517338,0.425966531,-0.273188949,0.143608585,533,1.957
Greece,2014,4.75623703,10.08920479,0.369156331,-0.289120018,0.188292742,565,2.052
Greece,2015,5.622519016,10.09288025,0.531736314,-0.27328527,0.437318921,529,1.878
Guatemala,2011,5.743353844,8.831199646,0.762963116,0.006181439,0.355844259,359,2.405
Guatemala,2012,5.855717182,8.839147568,0.865472019,0.017802276,0.502455831,420,2.287
Guatemala,2013,5.984601498,8.854383469,0.88400501,0.042661797,0.467045605,455,2.221
Guatemala,2014,6.536030769,8.874507904,0.843398929,0.10562703,0.373200327,512,2.248
Guatemala,2015,6.464986801,8.894631386,0.868639767,0.049555305,0.272380829,494,2.215
Hungary,2011,4.917602539,10.03632164,0.631100118,-0.095548697,0.35979417,2420,1.495
Hungary,2012,4.683358192,10.02491188,0.56923151,-0.142413616,0.209778264,2349,1.476
Hungary,2013,4.914466858,10.04841042,0.673728287,-0.11943166,0.327895939,2092,1.52
Hungary,2014,5.18056345,10.09251308,0.494474709,-0.156426847,0.308385164,1925,1.482
Hungary,2015,5.34438324,10.12800789,0.557721376,-0.204279527,0.279211909,1868,1.463
Hungary,2016,5.448901653,10.15285015,0.55395174,-0.19341144,0.30377233,1762,1.534
Iceland,2012,7.590660095,10.59492397,0.904654503,0.239700317,0.257335573,37,1.113
Iceland,2013,7.501394272,10.62764359,0.9232077,0.304012835,0.456565946,49,1.162
Iceland,2015,7.498070717,10.67007351,0.94048512,0.298925996,0.427228123,40,1.148
Iceland,2016,7.510034561,10.7283411,0.951609552,0.278244555,0.363518298,40,1.192
Iran,2013,5.139579296,9.704015732,0.730214715,0.185000196,0.687470555,2442,2.473
